"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"",254024,6218,36.94829,-122.06509,2,04/08/2024 17:20:25,Argos,0,270,NP,,401677713.71,04/08/2024 17:18:56,1,4,0,-127,401677713.71,-122.06509,36.94829,-122.06509,36.94829,50,3,257,635,103,83,272,68,80,165,253,232,151,1,17,20,69,66,135,212,3,221,28,1,255,1,202,64,0,0,,,,,,,,,
"",254024,6218,36.94829,-122.06509,2,04/08/2024 17:20:25,Argos,0,270,NP,,401677713.71,04/08/2024 17:20:26,1,4,0,-127,401677713.71,-122.06509,36.94829,-122.06509,36.94829,50,3,257,635,103,83,272,27,143,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",254024,6218,36.94829,-122.06509,2,04/08/2024 17:20:25,Argos,0,270,NP,,401677713.71,04/08/2024 17:21:56,1,4,0,-127,401677713.71,-122.06509,36.94829,-122.06509,36.94829,50,3,257,635,103,83,272,62,218,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",254024,6218,36.94829,-122.06509,2,04/08/2024 17:20:25,Argos,0,270,NP,,401677713.71,04/08/2024 17:23:26,1,4,0,-127,401677713.71,-122.06509,36.94829,-122.06509,36.94829,50,3,257,635,103,83,272,79,146,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",254024,6218,36.95406,-122.05947,B,04/08/2024 17:34:30,Argos,0,90,MB,,401677712.08,04/08/2024 17:33:45,1,2,0,-131,401677712.08,-122.05947,36.95406,-122.05947,36.95406,6,3,732,1518,353,115,1207,81,248,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",254024,6218,36.95406,-122.05947,B,04/08/2024 17:34:30,Argos,0,90,MB,,401677712.08,04/08/2024 17:35:15,1,2,0,-131,401677712.08,-122.05947,36.95406,-122.05947,36.95406,6,3,732,1518,353,115,1207,108,142,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",254024,6218,36.94986,-122.07713,1,09/11/2024 16:05:14,Argos,0,448,NK,,401677719.32,09/11/2024 16:02:15,1,4,1,-117,401677719.32,-122.07713,36.94986,-122.07713,36.94986,40,3,828,4407,155,103,348,102,140,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",254024,6218,36.94986,-122.07713,1,09/11/2024 16:05:14,Argos,0,448,NK,,401677719.32,09/11/2024 16:03:45,1,4,1,-117,401677719.32,-122.07713,36.94986,-122.07713,36.94986,40,3,828,4407,155,103,348,12,1,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",254024,6218,36.94986,-122.07713,1,09/11/2024 16:05:14,Argos,0,448,NK,,401677719.32,09/11/2024 16:05:15,1,4,1,-117,401677719.32,-122.07713,36.94986,-122.07713,36.94986,40,3,828,4407,155,103,348,86,16,165,253,232,151,2,86,245,192,83,206,86,4,57,24,1,255,1,202,144,0,0,,,,,,,,,
"",254024,6218,36.94986,-122.07713,1,09/11/2024 16:05:14,Argos,0,448,NK,,401677719.32,09/11/2024 16:08:13,1,4,1,-117,401677719.32,-122.07713,36.94986,-122.07713,36.94986,40,3,828,4407,155,103,348,62,250,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",254024,6218,36.94986,-122.07713,1,09/11/2024 16:05:14,Argos,0,448,NK,,401677719.32,09/11/2024 16:09:43,1,4,1,-117,401677719.32,-122.07713,36.94986,-122.07713,36.94986,40,3,828,4407,155,103,348,74,131,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
